# durete temps taux_vrai
1 23.062107666666666 100
2 23.422851 100
3 15.302242666666666 100
4 16.955580000000005 100
5 14.759466333333332 100
6 15.418289333333334 100
7 12.701797666666668 100
8 13.184254999999999 100
9 12.269586 100
10 10.795275 100
11 10.417931000000001 100
12 9.824324666666666 100
13 9.424206333333334 100
14 10.242904 100
15 8.194839666666667 100
16 7.619424333333333 100
17 7.376534333333334 100
18 6.807416666666667 100
19 7.354315333333334 100
20 7.808623 100
21 6.389878 100
22 3.849431 100
23 4.645582666666667 100
24 4.743239333333333 100
25 3.8451099999999996 100
26 4.079854666666666 100
27 4.086183333333333 100
28 4.621945666666667 100
29 4.337182666666667 100
30 3.1815089999999997 100
31 4.0025846666666665 100
32 3.304022666666667 100
33 2.7836843333333334 100
34 2.453794 100
35 3.555179333333333 100
36 3.519906 100
37 2.368052333333333 100
38 0.10235233333333334 0
39 2.8790933333333326 100
40 1.9263796666666668 100
41 2.2550803333333334 100
42 2.007331333333333 100
43 0.08279333333333334 0
44 0.21001266666666668 0
45 0.20772533333333332 0
46 2.4119486666666665 100
47 0.17698 0
48 2.5325603333333335 100
49 2.5667853333333333 100
50 0.18497666666666665 0
51 1.8354136666666665 100
52 0.05105133333333334 0
53 0.10040266666666667 0
54 0.18202466666666667 0
55 0.08052166666666666 0
56 0.22024499999999997 0
57 0.028607666666666663 0
58 0.06985533333333334 0
59 0.06140766666666666 0
60 0.7509083333333334 100
61 0.13161133333333333 0
62 0.018725333333333333 0
63 0.01611633333333333 0
64 0.021049 0
65 0.07050833333333333 0
66 0.20649066666666668 0
67 0.012858 0
68 0.016129666666666667 0
69 0.034052000000000006 0
70 0.06171066666666667 0
71 0.037447999999999995 0
72 0.09492600000000001 0
73 0.069692 0
74 0.08384233333333332 0
75 0.03863066666666667 0
76 0.40707233333333337 100
77 0.012340333333333332 0
78 0.058271666666666666 0
79 0.05913966666666667 0
80 0.060212 0
81 0.10833266666666667 0
82 0.06354666666666667 0
83 0.069605 0
84 0.060482 0
85 0.072093 0
86 0.062179000000000005 0
87 0.06683399999999999 0
88 0.060565999999999995 0
89 0.07057566666666666 0
90 0.06515666666666667 0
91 0.06392033333333333 0
92 0.060655 0
93 0.015243333333333331 0
94 0.06956533333333334 0
95 0.06840433333333333 0
96 0.07313800000000001 0
97 0.08667433333333334 0
98 0.056437333333333325 0
99 0.06513266666666667 0
