# durete temps taux_vrai
1 8.006898333333334 1000
2 5.725029999999999 1000
3 2.985321666666667 1000
4 2.249527333333334 1000
5 3.1475506666666666 1000
6 3.915828666666666 1000
7 2.8364606666666665 1000
8 2.4777783333333327 1000
9 2.8280726666666665 1000
10 3.8527276666666666 1000
11 2.6674923333333336 1000
12 2.835128666666667 1000
13 2.680371 1000
14 2.018758666666667 1000
15 2.5691386666666665 1000
16 3.136657666666666 1000
17 2.054298 1000
18 2.8129800000000005 1000
19 2.110305666666666 1000
20 2.354509666666667 1000
21 2.324208 1000
22 2.313766 1000
23 2.237708666666667 1000
24 2.359942 1000
25 2.132026666666667 1000
26 2.2100400000000002 1000
27 2.560792 1000
28 2.464850666666667 1000
29 2.755154666666667 1000
30 2.3191409999999997 1000
31 2.5347100000000005 1000
32 1.9959496666666667 1000
33 2.01098 1000
34 2.509434 1000
35 2.266155 1000
36 2.0763039999999995 1000
37 2.1387829999999997 1000
38 9.366022666666666 0
39 2.4269089999999998 1000
40 2.0138376666666664 1000
41 2.397238333333333 1000
42 2.6648943333333333 1000
43 89.86521366666666 0
44 144.64856033333334 0
45 6.094252666666667 0
46 1.643349666666667 1000
47 3.047122666666667 0
48 2.474953 1000
49 2.975055666666667 1000
50 35.20852433333333 0
51 1.9572183333333335 1000
52 15.429594999999997 0
53 1032.5894759999999 0
54 4.137868666666667 0
55 2.4883896666666665 0
56 9.388267666666668 0
57 2.670557333333334 0
58 104.565217 0
59 57.79473166666666 0
60 1.4811583333333331 1000
61 10.106762 0
62 1.9081283333333334 0
63 7.0345699999999995 0
64 17.28642 0
65 6.953284333333333 0
66 0.5263539999999999 0
67 0.8604713333333335 0
68 1.5671303333333333 0
69 1.34483 0
70 13.898508666666666 0
71 1.6333373333333334 0
72 1.4021823333333334 0
73 7.776573333333333 0
74 244.10545166666665 0
75 0.9300506666666667 0
76 1.421206 1000
77 0.15690166666666666 0
78 3.432694333333333 0
79 7.499616333333334 0
80 3.2094933333333335 0
81 28.473469 0
82 2.2670053333333335 0
83 7.689934333333333 0
84 3.551399 0
85 52.169534 0
86 24.35374433333333 0
87 0.5974093333333332 0
88 8.358740333333333 0
89 11.389771666666665 0
90 1.4101940000000002 0
91 2.746621666666667 0
92 16.062615666666666 0
93 0.6297493333333334 0
94 15.602964333333333 0
95 23.121326 0
96 6.660246000000001 0
97 7.512735999999999 0
98 10.711365666666667 0
99 8.865145333333334 0
